N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
123,대우건설,"6,660",90,-1.33%,"5,000","27,680","415,623",11.83,"775,840",6.07,11.06,
124,효성티앤씨,"639,000","6,000",-0.93%,"5,000","27,654","4,328",23.37,"18,842",5.47,25.10,
125,한샘,"117,500","2,500",-2.08%,"1,000","27,652","23,534",18.99,"58,761",33.26,10.83,
126,코오롱인더,"99,800",0,0.00%,"5,000","26,925","26,979",21.20,"510,878",19.99,9.70,
127,현대오토에버,"97,800",700,-0.71%,500,"26,821","27,424",1.81,"69,838",35.28,11.09,
128,현대미포조선,"66,700","3,200",-4.58%,"5,000","26,641","39,942",10.94,"237,109",-14.66,-0.84,
129,제일기획,"23,050",250,+1.10%,200,"26,517","115,041",32.86,"294,331",14.18,16.11,
130,한화에어로스페이스,"51,900","1,700",+3.39%,"5,000","26,277","50,630",19.02,"877,085",10.04,4.78,
131,현대로템,"23,950",250,-1.03%,"5,000","26,140","109,142",4.07,"728,558",77.01,2.84,
132,만도,"55,100","2,000",-3.50%,"1,000","25,873","46,957",24.41,"236,985",10.91,0.37,
133,DL이앤씨,"131,500","2,500",-1.87%,"5,000","25,457","19,359",26.60,"61,116",N/A,N/A,
134,한화,"33,950",300,-0.88%,"5,000","25,448","74,959",18.94,"271,631",6.52,4.79,
135,휠라홀딩스,"41,400","1,250",-2.93%,"1,000","25,151","60,752",47.46,"180,955",10.44,10.94,
136,신세계,"255,000","8,500",-3.23%,"5,000","25,105","9,845",27.47,"31,124",31.12,-2.81,
137,일진하이솔루스,"68,900","4,100",-5.62%,500,"25,020","36,313",4.06,"476,085",128.54,34.27,
138,효성,"114,000","2,500",-2.15%,"5,000","24,021","21,071",9.44,"28,197",15.56,-2.26,
139,DB하이텍,"53,800",800,-1.47%,"5,000","23,886","44,399",15.99,"328,799",14.30,23.07,
140,롯데정밀화학,"91,700",500,+0.55%,"5,000","23,659","25,800",20.93,"211,008",9.65,12.65,
141,현대해상,"26,450","1,000",+3.93%,500,"23,646","89,400",26.92,"951,847",6.12,7.13,
142,TIGER 200,"39,605",650,-1.61%,0,"22,971","58,000",0.00,"797,724",N/A,N/A,
143,현대차우,"94,100","2,400",-2.49%,"5,000","22,920","24,357",58.90,"36,835",6.82,N/A,
144,하이트진로,"32,550",600,-1.81%,"5,000","22,828","70,134",4.64,"178,661",32.58,8.23,
145,솔루스첨단소재,"73,200","1,700",+2.38%,100,"22,392","30,590",8.18,"438,081",-190.62,-5.10,
146,KODEX 200선물인버스2X,"2,240",65,+2.99%,0,"21,809","973,600",4.31,"148,177,635",N/A,N/A,
147,TIGER 차이나전기차SOLACTIVE,"17,270",50,-0.29%,0,"21,712","125,720",1.53,"949,902",N/A,N/A,
148,KODEX 단기채권,"102,935",0,0.00%,0,"20,553","19,967",0.00,"7,174",N/A,N/A,
149,LS,"63,100","1,100",-1.71%,"5,000","20,318","32,200",14.29,"60,231",8.19,3.94,
150,현대위아,"74,100","4,700",-5.96%,"5,000","20,152","27,195",8.65,"296,563",19.83,1.96,
151,LS ELECTRIC,"66,700",0,0.00%,"5,000","20,010","30,000",18.11,"72,849",21.81,6.15,
152,현대엘리베이,"48,800",350,-0.71%,"5,000","19,918","40,815",26.77,"165,061",20.67,9.78,
153,대한전선,"2,320",75,-3.13%,500,"19,870","856,473",1.84,"6,107,595",-122.11,0.92,
154,아시아나항공,"26,000",650,-2.44%,"5,000","19,347","74,412",9.19,"923,830",-28.26,-43.83,
155,영원무역,"43,600",550,-1.25%,500,"19,320","44,311",27.62,"44,381",10.31,8.03,
156,후성,"20,650",650,-3.05%,500,"19,123","92,607",4.84,"1,842,275",191.20,2.79,
157,대웅,"32,500",750,-2.26%,500,"18,896","58,142",3.87,"49,036",20.10,15.10,
158,한전기술,"49,200",500,+1.03%,200,"18,804","38,220",2.43,"136,106",90.94,N/A,
159,현대백화점,"79,000",900,-1.13%,"5,000","18,488","23,402",18.96,"79,678",14.27,1.65,
160,한전KPS,"39,950","1,550",+4.04%,200,"17,978","45,000",8.74,"362,315",18.40,8.23,
161,오뚜기,"487,000","5,000",-1.02%,"5,000","17,883","3,672",12.55,"2,115",20.37,7.93,
162,HDC현대산업개발,"26,900",600,-2.18%,"5,000","17,729","65,907",10.72,"145,017",9.60,8.85,
163,JB금융지주,"8,880",50,-0.56%,"5,000","17,492","196,983",40.57,"192,331",3.86,10.06,
164,프레스티지바이오파마,"29,100",300,+1.04%,0,"17,488","60,096",63.75,"278,228",-204.93,-1.78,
165,농심,"282,000",500,-0.18%,"5,000","17,153","6,083",13.53,"12,353",15.48,7.50,
166,동국제강,"17,700",650,-3.54%,"5,000","16,892","95,433",23.50,"476,090",5.76,3.35,
167,DGB금융지주,"9,850",80,-0.81%,"5,000","16,661","169,146",49.97,"438,410",3.91,6.93,
168,대웅제약,"142,000","3,500",-2.41%,"2,500","16,453","11,587",7.12,"27,970",554.69,2.38,
169,KODEX 삼성그룹,"9,925",150,-1.49%,0,"16,128","162,500",0.18,"134,653",N/A,N/A,
170,PI첨단소재,"53,800","2,000",-3.58%,500,"15,799","29,366",18.01,"142,731",28.94,15.62,
