번호,인허가일자,상세영업상태코드,폐업일자,소재지우편번호,소재지전체주소,도로명전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,좌표정보(x),좌표정보(y),다중이용업소여부,시설총규모
16732,20110909,2,20130722,619903,부산광역시 기장군 기장읍 대라리 146-3번지,부산광역시 기장군 기장읍 대청로21번길 16,대라탕,2.01109E+13,I,2018-08-31 23:59:59.0,401353.2223,195506.005,N,7.94
16734,19990907,2,20031030,609839,부산광역시 금정구 장전동 422-3번지,,드림웍스,2.0031E+13,I,2018-08-31 23:59:59.0,389837.4539,194264.4243,N,0
16739,19991201,2,20040313,609320,"부산광역시 금정구 부곡동 65-15번지 ,17",,다원능소화,2.00201E+13,I,2018-08-31 23:59:59.0,390137.8537,195414.4592,N,0
16745,20000408,2,20000525,609839,부산광역시 금정구 장전동 415-16번지,,라까사,2.00108E+13,I,2018-08-31 23:59:59.0,389951.0463,194377.0027,N,0
16746,20000418,2,20070604,609848,부산광역시 금정구 서동 165-7번지,,둥지,2.00205E+13,I,2018-08-31 23:59:59.0,391265.3998,192931.9922,N,0
16747,20000513,2,20050624,609839,부산광역시 금정구 장전동 305-5번지,,아로테스,2.00108E+13,I,2018-08-31 23:59:59.0,390001.4406,194326.84,N,0
16750,20000622,2,20040622,609858,부산광역시 금정구 서동 118-2번지,,커피타임,2.00201E+13,I,2018-08-31 23:59:59.0,392000.2431,192973.497,N,0
16753,20000724,2,20041001,609839,부산광역시 금정구 장전동 312-7번지,,다비오다 부산대점,2.00108E+13,I,2018-08-31 23:59:59.0,389883.5323,194333.1508,N,0
16754,20000818,2,20051025,609830,부산광역시 금정구 서동 340-29번지,,원,2.00311E+13,I,2018-08-31 23:59:59.0,391350.2709,192665.4989,N,0
16755,20000822,2,20001226,609839,부산광역시 금정구 장전동 305-13번지,,보쉬엘,2.00108E+13,I,2018-08-31 23:59:59.0,,,N,0
16759,20080626,2,20090430,609847,부산광역시 금정구 구서동 252-32번지 구서골드1상가 B103호,,찬이,2.00807E+13,I,2018-08-31 23:59:59.0,390022.1767,196436.295,N,28.07
16760,20010104,2,20020117,609839,부산광역시 금정구 장전동 413-15번지,,창업디자이너,2.00201E+13,I,2018-08-31 23:59:59.0,390028.9043,194445.0464,N,0
16761,20010205,2,20010316,609828,부산광역시 금정구 서동 141-66번지,,산타페,2.00108E+13,I,2018-08-31 23:59:59.0,391880.0741,192931.4946,N,0
16765,20010305,2,20010619,609806,부산광역시 금정구 구서동 457-6번지,,우리,2.00108E+13,I,2018-08-31 23:59:59.0,390023.3586,195926.3958,N,0
16769,20010313,2,20010820,609827,부산광역시 금정구 서동 302-91번지,,귀빈,2.00201E+13,I,2018-08-31 23:59:59.0,391304.6828,192708.2318,N,0
16770,20010313,2,20070312,609840,부산광역시 금정구 장전동 403-22번지,,커피하우스,2.00201E+13,I,2018-08-31 23:59:59.0,389660.5987,194362.6996,N,0
16771,20010319,2,20010409,609829,부산광역시 금정구 서동 147-1번지 장백아파트 114동 1201호,,산타페,2.00201E+13,I,2018-08-31 23:59:59.0,391263.6101,193158.9615,N,0
16772,20010319,2,20010409,609831,부산광역시 금정구 서동 208-17번지,,산타페,2.00108E+13,I,2018-08-31 23:59:59.0,391840.4539,192572.5262,N,0
16777,19711022,2,20030206,609824,부산광역시 금정구 부곡동 392-2번지,,진,2.00108E+13,I,2018-08-31 23:59:59.0,390130.4269,193335.0839,N,0
16778,19711207,2,20020702,609830,부산광역시 금정구 서동 340-21번지,,정운,2.00204E+13,I,2018-08-31 23:59:59.0,391346.007,192707.5329,N,0
16779,19720106,2,20080721,609858,부산광역시 금정구 서동 39-1번지,,부일,2.00805E+13,I,2018-08-31 23:59:59.0,,,N,0
16780,19720722,2,20071224,609843,부산광역시 금정구 청룡동 17-25번지,,모정,2.00405E+13,I,2018-08-31 23:59:59.0,390366.1651,199061.981,N,0
16781,19730507,2,20111110,609852,부산광역시 금정구 부곡동 257-22번지,,나연,2.0111E+13,I,2018-08-31 23:59:59.0,390406.7741,194432.1047,N,59.04
